batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Gujarat Titans,Kolkata Knight Riders,Barsapara Stadium Guwahati,Vijay Shankar,Vaibhav Arora,9,1,76,3,16,3,193
Sunrisers Hyderabad,Delhi Capitals,HPCA Stadium Dharamsala,Nitish Kumar Reddy,Khaleel Ahmed,3,3,48,1,56,1,290
Delhi Capitals,Lucknow Super Giants,Narendra Modi Stadium,Mitchell Marsh,Naveen-ul-Haq,8,2,66,2,33,0,169
Delhi Capitals,Kolkata Knight Riders,Barsapara Stadium Guwahati,Prithvi Shaw,Vaibhav Arora,6,2,52,0,44,2,200
Chennai Super Kings,Mumbai Indians,HPCA Stadium Dharamsala,Ajinkya Rahane,Gerald Coetzee,17,5,117,2,38,2,131
Rajasthan Royals,Delhi Capitals,Arun Jaitley Stadium,Riyan Parag,Anrich Nortje,10,3,64,5,37,0,159
Chennai Super Kings,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Devon Conway,Nuwan Thushara,17,5,153,3,58,1,155
Chennai Super Kings,Delhi Capitals,Ekana Cricket Stadium,Daryl Mitchell,Kuldeep Yadav,15,4,137,5,42,1,191
Royal Challengers Bangalore,Gujarat Titans,Sawai Mansingh Stadium,Mahipal Lomror,R Sai Kishore,11,6,90,6,54,0,155
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Kane Williamson,Bhuvneshwar Kumar,5,1,22,0,27,1,73
Mumbai Indians,Delhi Capitals,Wankhede Stadium,Dewald Brevis,Kuldeep Yadav,3,5,30,2,54,1,225
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Liam Livingstone,Vyshak Vijaykumar,14,3,118,4,32,0,163
Lucknow Super Giants,Mumbai Indians,Eden Gardens,Krunal Pandya,Piyush Chawla,10,3,77,6,54,1,153
Sunrisers Hyderabad,Delhi Capitals,Ekana Cricket Stadium,Heinrich Klaasen,Mukesh Kumar,6,6,43,1,34,1,160
Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Shreyas Iyer,Nandre Burger,6,3,63,4,57,2,203
Sunrisers Hyderabad,Delhi Capitals,HPCA Stadium Dharamsala,Aiden Markram,Mukesh Kumar,11,3,66,2,31,1,139
Punjab Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Liam Livingstone,Marco Jansen,17,5,174,5,55,1,230
Lucknow Super Giants,Delhi Capitals,Barsapara Stadium Guwahati,Nicholas Pooran,Mukesh Kumar,5,5,45,2,42,1,159
Mumbai Indians,Gujarat Titans,Wankhede Stadium,Rohit Sharma,Darshan Nalkande,2,6,29,0,8,0,290
Royal Challengers Bangalore,Lucknow Super Giants,Narendra Modi Stadium,Rajat Patidar,Shamar Joseph,15,5,134,7,62,1,146
Punjab Kings,Kolkata Knight Riders,PCA Stadium Mohali,Ashutosh Sharma,Vaibhav Arora,15,4,146,6,49,1,210
Gujarat Titans,Punjab Kings,MA Chidambaram Stadium,Abhinav Manohar,Kagiso Rabada,15,4,145,2,53,0,191
Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Shahrukh Khan,Sunil Narine,1,6,4,0,37,0,69
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,Krunal Pandya,Axar Patel,20,1,191,7,59,0,214
Sunrisers Hyderabad,Chennai Super Kings,Arun Jaitley Stadium,Heinrich Klaasen,Shardul Thakur,17,4,136,6,59,0,181
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,Shikhar Dhawan,Alzarri Joseph,19,2,141,7,29,1,160
Punjab Kings,Mumbai Indians,Ekana Cricket Stadium,Shashank Singh,Akash Madhwal,8,6,57,10,20,0,128
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,Sameer Rizvi,Kagiso Rabada,19,5,203,7,61,1,209
Gujarat Titans,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Vijay Shankar,Bhuvneshwar Kumar,10,6,91,3,47,1,156
Sunrisers Hyderabad,Rajasthan Royals,HPCA Stadium Dharamsala,Aiden Markram,Trent Boult,13,2,100,5,28,0,159
Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Sameer Rizvi,Mohammed Shami,13,1,93,2,48,0,138
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,Phil Salt,Karn Sharma,11,3,76,6,53,0,155
Chennai Super Kings,Gujarat Titans,Narendra Modi Stadium,Ruturaj Gaikwad,Noor Ahmad,9,1,69,4,37,4,149
Punjab Kings,Royal Challengers Bangalore,PCA Stadium Mohali,Prabhsimran Singh,Mohammed Siraj,5,6,59,0,58,1,217
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Sanju Samson,Axar Patel,16,2,156,6,53,2,171
Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium,Shahrukh Khan,Kuldeep Sen,17,4,173,5,31,3,199
Delhi Capitals,Gujarat Titans,PCA Stadium Mohali,Yash Dhull,Mohammed Shami,7,4,77,1,31,0,209
Delhi Capitals,Gujarat Titans,Wankhede Stadium,Tristan Stubbs,Umesh Yadav,15,1,95,10,33,0,149
Sunrisers Hyderabad,Delhi Capitals,M. Chinnaswamy Stadium,Travis Head,Kuldeep Yadav,9,1,81,5,31,1,214
Punjab Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Jitesh Sharma,Karn Sharma,15,1,120,9,47,1,179
Gujarat Titans,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Wriddhiman Saha,Mustafizur Rahman,16,5,150,9,63,0,190
Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Marcus Stoinis,Darshan Nalkande,6,4,39,1,27,2,135
Mumbai Indians,Lucknow Super Giants,MA Chidambaram Stadium,Dewald Brevis,Yash Thakur,3,6,24,0,54,1,156
Delhi Capitals,Rajasthan Royals,Eden Gardens,Mitchell Marsh,Navdeep Saini,4,2,39,2,44,0,192
Royal Challengers Bangalore,Delhi Capitals,Barsapara Stadium Guwahati,Mahipal Lomror,Mukesh Kumar,11,1,101,6,25,2,188
Chennai Super Kings,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Shivam Dube,Axar Patel,3,1,4,0,45,2,33
Chennai Super Kings,Lucknow Super Giants,Barsapara Stadium Guwahati,Daryl Mitchell,Ravi Bishnoi,17,5,170,5,50,2,212
Mumbai Indians,Delhi Capitals,Eden Gardens,Romario Shepherd,Ishant Sharma,16,1,101,8,51,2,122
Lucknow Super Giants,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Marcus Stoinis,Bhuvneshwar Kumar,10,2,80,2,28,2,161
Chennai Super Kings,Punjab Kings,Barsapara Stadium Guwahati,MS Dhoni,Harpreet Brar,11,5,103,6,39,3,194
Gujarat Titans,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Shahrukh Khan,Mustafizur Rahman,13,1,144,4,49,2,262
Punjab Kings,Gujarat Titans,HPCA Stadium Dharamsala,Liam Livingstone,Spencer Johnson,10,3,86,5,26,1,179
Kolkata Knight Riders,Sunrisers Hyderabad,MA Chidambaram Stadium,Manish Pandey,Mayank Markande,2,2,23,2,33,2,214
Gujarat Titans,Punjab Kings,Eden Gardens,Shahrukh Khan,Arshdeep Singh,12,6,128,5,48,1,218
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Ajinkya Rahane,Mujeeb Ur Rahman,1,4,4,1,38,0,62
Lucknow Super Giants,Mumbai Indians,Arun Jaitley Stadium,Marcus Stoinis,Luke Wood,11,4,97,2,43,2,194
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Shreyas Iyer,Shardul Thakur,5,4,35,1,38,1,128
Chennai Super Kings,Lucknow Super Giants,HPCA Stadium Dharamsala,Shivam Dube,Amit Mishra,2,1,9,1,59,1,79
Rajasthan Royals,Lucknow Super Giants,MA Chidambaram Stadium,Riyan Parag,Ravi Bishnoi,8,5,73,5,71,2,198
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,KL Rahul,Varun Chakaravarthy,16,6,126,8,45,1,175
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,Mayank Agarwal,Shardul Thakur,19,5,173,2,36,1,174
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,KL Rahul,Akash Madhwal,12,6,103,6,48,0,150
Delhi Capitals,Kolkata Knight Riders,HPCA Stadium Dharamsala,Abishek Porel,Chetan Sakariya,14,2,110,6,32,1,155
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Nitish Rana,T Natarajan,15,4,139,4,25,1,216
Punjab Kings,Mumbai Indians,Narendra Modi Stadium,Ashutosh Sharma,Piyush Chawla,20,4,145,4,39,2,181
Punjab Kings,Gujarat Titans,Narendra Modi Stadium,Ashutosh Sharma,R Sai Kishore,16,1,111,6,49,0,154
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,Dhruv Jurel,Lalit Yadav,5,3,45,1,63,2,159
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Jake Fraser-McGurk,Tushar Deshpande,7,1,61,2,40,0,165
Lucknow Super Giants,Rajasthan Royals,Eden Gardens,KL Rahul,Sandeep Sharma,2,4,9,0,61,1,93
Gujarat Titans,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Kane Williamson,Lockie Ferguson,12,2,93,4,42,1,136
Rajasthan Royals,Mumbai Indians,Barsapara Stadium Guwahati,Shubham Dubey,Piyush Chawla,3,6,5,1,53,1,35
Chennai Super Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Moeen Ali,Ravi Bishnoi,16,4,141,5,38,1,191
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Heinrich Klaasen,Anrich Nortje,6,2,49,3,52,0,170
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Ruturaj Gaikwad,Alzarri Joseph,20,2,176,9,48,0,182
Kolkata Knight Riders,Chennai Super Kings,Barsapara Stadium Guwahati,Angkrish Raghuvanshi,Maheesh Theekshana,11,6,105,3,44,2,168
Rajasthan Royals,Royal Challengers Bangalore,Ekana Cricket Stadium,Yashasvi Jaiswal,Karn Sharma,9,4,72,1,32,3,170
Rajasthan Royals,Chennai Super Kings,Arun Jaitley Stadium,Shimron Hetmyer,Shardul Thakur,3,3,44,3,35,0,261
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,Harry Brook,Vidwath Kaverappa,5,1,38,1,53,0,137
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,Tristan Stubbs,Mitchell Starc,4,2,19,2,30,4,64
Mumbai Indians,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Rohit Sharma,Lockie Ferguson,18,2,142,7,45,2,179
Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,Cameron Green,Mayank Yadav,8,2,68,6,33,2,173
Punjab Kings,Gujarat Titans,Ekana Cricket Stadium,Jonny Bairstow,Darshan Nalkande,18,3,143,8,43,2,171
Rajasthan Royals,Gujarat Titans,Ekana Cricket Stadium,Shubham Dubey,Mohit Sharma,14,4,112,5,50,0,157
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Daryl Mitchell,Umran Malik,14,6,125,4,54,0,190
Royal Challengers Bangalore,Punjab Kings,PCA Stadium Mohali,Dinesh Karthik,Harshal Patel,5,5,52,1,60,1,212
Gujarat Titans,Punjab Kings,Wankhede Stadium,Wriddhiman Saha,Harshal Patel,1,4,17,0,31,2,290
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Deepak Hooda,Mitchell Starc,12,1,67,7,53,1,97
Gujarat Titans,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Wriddhiman Saha,Ishant Sharma,8,5,51,4,30,0,139
Punjab Kings,Lucknow Super Giants,MA Chidambaram Stadium,Jonny Bairstow,Mohsin Khan,19,1,157,8,35,1,183
Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,KL Rahul,Marco Jansen,4,4,33,2,37,1,146
Mumbai Indians,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Rohit Sharma,R Ashwin,13,3,116,6,38,0,182
Rajasthan Royals,Punjab Kings,MA Chidambaram Stadium,Yashasvi Jaiswal,Kagiso Rabada,4,6,24,2,31,0,133
Gujarat Titans,Sunrisers Hyderabad,Narendra Modi Stadium,Abhinav Manohar,Jaydev Unadkat,6,4,35,1,50,0,149
Chennai Super Kings,Mumbai Indians,HPCA Stadium Dharamsala,Sameer Rizvi,Dilshan Madushanka,15,2,126,9,49,0,178
Lucknow Super Giants,Gujarat Titans,Wankhede Stadium,Quinton de Kock,Noor Ahmad,4,2,23,3,48,2,84
Sunrisers Hyderabad,Chennai Super Kings,Wankhede Stadium,Nitish Kumar Reddy,Tushar Deshpande,2,6,15,0,73,1,150
Gujarat Titans,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Shubman Gill,Akash Deep,7,5,44,3,33,2,134
Chennai Super Kings,Gujarat Titans,PCA Stadium Mohali,Daryl Mitchell,Mohit Sharma,8,4,58,5,44,1,152
Delhi Capitals,Lucknow Super Giants,Sawai Mansingh Stadium,Yash Dhull,Shamar Joseph,15,6,146,8,37,2,186
Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Andre Russell,Navdeep Saini,9,4,72,5,47,1,154
Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,Dinesh Karthik,Mohammed Shami,6,3,40,4,49,1,138
Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,Liam Livingstone,Piyush Chawla,2,1,15,0,33,2,149
Mumbai Indians,Delhi Capitals,MA Chidambaram Stadium,Suryakumar Yadav,Axar Patel,8,4,78,3,44,1,211
Delhi Capitals,Royal Challengers Bangalore,Ekana Cricket Stadium,Tristan Stubbs,Karn Sharma,14,4,144,6,57,1,211
Royal Challengers Bangalore,Kolkata Knight Riders,HPCA Stadium Dharamsala,Rajat Patidar,Sunil Narine,8,6,92,4,61,0,214
Punjab Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Sam Curran,Umran Malik,17,6,104,5,42,2,130
Mumbai Indians,Kolkata Knight Riders,HPCA Stadium Dharamsala,Suryakumar Yadav,Vaibhav Arora,5,4,58,3,32,2,254
Delhi Capitals,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Mitchell Marsh,Mohammed Siraj,19,4,171,9,40,0,195
Royal Challengers Bangalore,Mumbai Indians,Ekana Cricket Stadium,Virat Kohli,Akash Madhwal,8,6,75,1,43,0,202
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,Angkrish Raghuvanshi,Nuwan Thushara,17,6,136,6,52,2,182
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Shikhar Dhawan,Yash Thakur,7,4,58,0,43,0,170
Rajasthan Royals,Mumbai Indians,Eden Gardens,Jos Buttler,Gerald Coetzee,2,4,0,0,33,1,1
Lucknow Super Giants,Rajasthan Royals,MA Chidambaram Stadium,Krunal Pandya,Trent Boult,2,3,4,0,53,3,38
Sunrisers Hyderabad,Royal Challengers Bangalore,PCA Stadium Mohali,Travis Head,Mohammed Siraj,9,6,71,4,43,1,203
Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,Dhruv Jurel,Mohammed Shami,12,2,87,5,38,1,148
Chennai Super Kings,Lucknow Super Giants,Barsapara Stadium Guwahati,Ajinkya Rahane,Shamar Joseph,4,5,29,0,45,2,143
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Tilak Varma,Mukesh Choudhary,2,4,7,1,31,0,72
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,Rahul Tripathi,Reece Topley,15,5,117,9,42,0,183
Sunrisers Hyderabad,Delhi Capitals,HPCA Stadium Dharamsala,Abdul Samad,Axar Patel,3,2,45,1,73,0,290
Rajasthan Royals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Sanju Samson,Harshit Rana,3,5,0,3,42,1,1
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Tim David,T Natarajan,2,3,11,0,33,1,113
Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,David Miller,T Natarajan,16,4,138,5,56,1,193
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,Manish Pandey,Vidwath Kaverappa,9,4,57,3,45,1,140
Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,Cameron Green,Navdeep Saini,12,2,94,4,61,0,160
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Harry Brook,Luke Wood,5,4,39,3,36,1,158
Sunrisers Hyderabad,Royal Challengers Bangalore,PCA Stadium Mohali,Abhishek Sharma,Alzarri Joseph,13,5,125,4,56,2,189
Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium,Yashasvi Jaiswal,Amit Mishra,7,5,78,2,44,1,203
Rajasthan Royals,Punjab Kings,Narendra Modi Stadium,Jos Buttler,Rahul Chahar,8,6,46,5,45,1,121
Mumbai Indians,Gujarat Titans,Wankhede Stadium,Suryakumar Yadav,R Sai Kishore,6,1,46,1,45,0,164
Lucknow Super Giants,Mumbai Indians,HPCA Stadium Dharamsala,Nicholas Pooran,Jasprit Bumrah,2,4,0,2,30,0,13
Gujarat Titans,Rajasthan Royals,Arun Jaitley Stadium,Wriddhiman Saha,R Ashwin,13,5,142,6,50,2,213
Chennai Super Kings,Kolkata Knight Riders,Barsapara Stadium Guwahati,MS Dhoni,Harshit Rana,7,1,25,6,54,0,84
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,Venkatesh Iyer,Maheesh Theekshana,12,4,96,4,20,1,164
Delhi Capitals,Rajasthan Royals,PCA Stadium Mohali,David Warner,Nandre Burger,17,4,178,5,48,1,206
Sunrisers Hyderabad,Delhi Capitals,Narendra Modi Stadium,Mayank Agarwal,Anrich Nortje,5,6,39,1,32,1,166
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,Mitchell Marsh,Mujeeb Ur Rahman,19,1,165,8,58,2,212
Sunrisers Hyderabad,Gujarat Titans,Wankhede Stadium,Abdul Samad,Mohammed Shami,10,3,90,3,31,0,197
Kolkata Knight Riders,Rajasthan Royals,PCA Stadium Mohali,Nitish Rana,Sandeep Sharma,15,1,137,2,49,1,179
Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Kane Williamson,Ishant Sharma,18,6,172,3,49,0,196
Sunrisers Hyderabad,Gujarat Titans,Eden Gardens,Abhishek Sharma,Spencer Johnson,16,3,145,5,57,4,184
Kolkata Knight Riders,Mumbai Indians,HPCA Stadium Dharamsala,Angkrish Raghuvanshi,Jasprit Bumrah,20,2,175,2,55,0,176
Delhi Capitals,Lucknow Super Giants,Narendra Modi Stadium,Harry Brook,Naveen-ul-Haq,8,3,53,1,21,1,188
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Shimron Hetmyer,Piyush Chawla,3,3,11,1,43,1,87
Kolkata Knight Riders,Mumbai Indians,MA Chidambaram Stadium,Shreyas Iyer,Gerald Coetzee,13,4,77,1,37,0,114
Kolkata Knight Riders,Sunrisers Hyderabad,HPCA Stadium Dharamsala,Manish Pandey,T Natarajan,3,4,32,0,57,2,212
Kolkata Knight Riders,Punjab Kings,Narendra Modi Stadium,Venkatesh Iyer,Vidwath Kaverappa,18,4,127,4,26,2,156
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,Jonny Bairstow,Sunil Narine,17,5,141,2,48,0,142
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jitesh Sharma,Avesh Khan,20,3,207,8,39,0,222
Sunrisers Hyderabad,Delhi Capitals,PCA Stadium Mohali,Heinrich Klaasen,Lalit Yadav,10,2,58,3,8,2,127
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mayank Agarwal,Akash Madhwal,4,1,37,3,61,2,184
Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,Aiden Markram,Avesh Khan,3,1,25,3,34,2,167
Royal Challengers Bangalore,Delhi Capitals,M. Chinnaswamy Stadium,Will Jacks,Ishant Sharma,1,6,11,0,38,2,193
Sunrisers Hyderabad,Lucknow Super Giants,M. Chinnaswamy Stadium,Abhishek Sharma,Mayank Yadav,16,3,149,6,55,3,188
Punjab Kings,Mumbai Indians,Wankhede Stadium,Prabhsimran Singh,Akash Madhwal,5,3,36,2,50,0,143
Sunrisers Hyderabad,Delhi Capitals,HPCA Stadium Dharamsala,Travis Head,Ishant Sharma,15,4,146,10,57,0,206
Sunrisers Hyderabad,Delhi Capitals,Barsapara Stadium Guwahati,Mayank Agarwal,Mukesh Kumar,18,2,157,7,27,1,206
Royal Challengers Bangalore,Delhi Capitals,M. Chinnaswamy Stadium,Faf du Plessis,Ishant Sharma,2,6,14,0,66,1,155
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Shreyas Iyer,Deepak Chahar,10,5,106,4,55,0,190
Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,Rinku Singh,Yash Dayal,9,5,86,4,54,0,187
Lucknow Super Giants,Kolkata Knight Riders,HPCA Stadium Dharamsala,Krunal Pandya,Varun Chakaravarthy,19,4,157,5,54,0,158
Chennai Super Kings,Lucknow Super Giants,HPCA Stadium Dharamsala,Ajinkya Rahane,Naveen-ul-Haq,3,6,18,1,51,2,127
Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,Shahrukh Khan,Umran Malik,14,3,117,5,44,1,176
Sunrisers Hyderabad,Lucknow Super Giants,Eden Gardens,Travis Head,Mayank Yadav,11,5,114,4,28,1,255
Mumbai Indians,Punjab Kings,M. Chinnaswamy Stadium,Tim David,Arshdeep Singh,1,6,12,2,25,0,224
Punjab Kings,Rajasthan Royals,Ekana Cricket Stadium,Prabhsimran Singh,Avesh Khan,20,1,178,7,43,2,200
Rajasthan Royals,Royal Challengers Bangalore,Ekana Cricket Stadium,Rovman Powell,Alzarri Joseph,9,5,91,5,35,1,172
Gujarat Titans,Royal Challengers Bangalore,Narendra Modi Stadium,David Miller,Yash Dayal,2,1,14,0,32,0,135
Sunrisers Hyderabad,Lucknow Super Giants,PCA Stadium Mohali,Mayank Agarwal,Shamar Joseph,1,6,1,1,70,0,53
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Dewald Brevis,Pat Cummins,17,5,154,4,73,2,166
Lucknow Super Giants,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Krunal Pandya,Umran Malik,1,5,7,0,64,1,146
Royal Challengers Bangalore,Sunrisers Hyderabad,Ekana Cricket Stadium,Will Jacks,Pat Cummins,19,2,129,6,50,2,132
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Dinesh Karthik,Chetan Sakariya,8,3,56,0,30,0,140
Chennai Super Kings,Mumbai Indians,Ekana Cricket Stadium,Devon Conway,Shreyas Gopal,2,5,20,0,16,1,228
Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,Yashasvi Jaiswal,Vaibhav Arora,19,4,174,10,42,0,176
Punjab Kings,Chennai Super Kings,Barsapara Stadium Guwahati,Shikhar Dhawan,Matheesha Pathirana,2,2,1,2,52,0,2
Royal Challengers Bangalore,Mumbai Indians,Barsapara Stadium Guwahati,Cameron Green,Gerald Coetzee,14,5,134,6,52,1,207
Delhi Capitals,Lucknow Super Giants,MA Chidambaram Stadium,Jake Fraser-McGurk,Ravi Bishnoi,14,3,116,8,51,0,185
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,Rajat Patidar,Akash Madhwal,19,6,181,4,29,0,196
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Cameron Green,Vaibhav Arora,10,3,96,5,53,1,199
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Tristan Stubbs,Mayank Markande,18,4,183,8,49,2,230
Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,Rovman Powell,Harshit Rana,18,1,174,3,59,3,208
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Daryl Mitchell,Pat Cummins,4,6,18,0,58,0,77
